"review_id","analysis_id","n_effects"
"CD008940","CD008940_G2_N1",1
"CD008940","CD008940_G2_N5",1
"CD008940","CD008940_G2_N6",4
"CD008940","CD008940_G20_N1",1
"CD008940","CD008940_G21_N1",1
"CD008940","CD008940_G22_N1",1
"CD008940","CD008940_G23_N1",1
"CD008940","CD008940_G3_N1",2
"CD008940","CD008940_G3_N2",1
"CD008940","CD008940_G3_N3",1
"CD008940","CD008940_G3_N4",1
"CD008940","CD008940_G3_N5",1
"CD008940","CD008940_G4_N1",1
"CD008940","CD008940_G4_N2",1
"CD008940","CD008940_G4_N4",1
"CD008940","CD008940_G5_N2",1
"CD008940","CD008940_G5_N3",2
"CD008940","CD008940_G5_N4",3
"CD008940","CD008940_G5_N5",2
"CD008940","CD008940_G5_N6",4
"CD008940","CD008940_G7_N1",1
"CD008940","CD008940_G7_N2",2
"CD008940","CD008940_G7_N3",1
"CD008940","CD008940_G7_N4",2
"CD008940","CD008940_G7_N5",2
"CD008940","CD008940_G8_N1",1
"CD008940","CD008940_G8_N2",1
"CD008940","CD008940_G8_N4",1
"CD008940","CD008940_G8_N5",1
"CD008940","CD008940_G8_N6",1
"CD008940","CD008940_G9_N1",1
"CD008940","CD008940_G9_N2",1
"CD008940","CD008940_G9_N3",1
"CD008940","CD008940_G9_N5",1
"CD009022","CD009022_G1_N1",1
"CD009022","CD009022_G1_N2",1
"CD009235","CD009235_G1_N1",51
"CD009235","CD009235_G1_N10",6
"CD009235","CD009235_G1_N14",15
"CD009235","CD009235_G1_N15",7
"CD009235","CD009235_G1_N16",22
"CD009235","CD009235_G1_N17",11
"CD009235","CD009235_G1_N18",2
"CD009235","CD009235_G1_N19",22
"CD009235","CD009235_G1_N2",8
"CD009235","CD009235_G1_N20",6
"CD009235","CD009235_G1_N21",38
"CD009235","CD009235_G1_N22",22
"CD009235","CD009235_G1_N3",37
"CD009235","CD009235_G1_N4",3
"CD009235","CD009235_G1_N5",6
"CD009235","CD009235_G1_N6",13
"CD009235","CD009235_G1_N7",5
"CD009235","CD009235_G1_N8",1
"CD009235","CD009235_G1_N9",9
"CD009235","CD009235_G2_N1",51
"CD009235","CD009235_G2_N2",9
"CD009235","CD009235_G2_N3",6
"CD009235","CD009235_G3_N1",6
"CD009244","CD009244_G1_N1",1
"CD009252","CD009252_G2_N1",8
"CD009252","CD009252_G2_N3",9
"CD009252","CD009252_G3_N1",11
"CD009252","CD009252_G3_N2",11
"CD009252","CD009252_G3_N3",11
"CD009252","CD009252_G3_N4",11
"CD009252","CD009252_G4_N1",1
"CD009298","CD009298_G1_N1",6
"CD009298","CD009298_G1_N10",8
"CD009298","CD009298_G1_N11",11
"CD009298","CD009298_G1_N12",10
"CD009298","CD009298_G1_N13",6
"CD009298","CD009298_G1_N14",8
"CD009298","CD009298_G1_N15",11
"CD009298","CD009298_G1_N16",10
"CD009298","CD009298_G1_N17",6
"CD009298","CD009298_G1_N18",8
"CD009298","CD009298_G1_N19",11
"CD009298","CD009298_G1_N2",8
"CD009298","CD009298_G1_N20",10
"CD009298","CD009298_G1_N21",6
"CD009298","CD009298_G1_N22",8
"CD009298","CD009298_G1_N23",11
"CD009298","CD009298_G1_N24",10
"CD009298","CD009298_G1_N25",6
"CD009298","CD009298_G1_N26",8
"CD009298","CD009298_G1_N27",11
"CD009298","CD009298_G1_N28",10
"CD009298","CD009298_G1_N29",4
"CD009298","CD009298_G1_N3",11
"CD009298","CD009298_G1_N30",4
"CD009298","CD009298_G1_N31",4
"CD009298","CD009298_G1_N32",3
"CD009298","CD009298_G1_N33",6
"CD009298","CD009298_G1_N34",4
"CD009298","CD009298_G1_N35",2
"CD009298","CD009298_G1_N36",2
"CD009298","CD009298_G1_N37",2
"CD009298","CD009298_G1_N38",2
"CD009298","CD009298_G1_N39",2
"CD009298","CD009298_G1_N4",10
"CD009298","CD009298_G1_N40",2
"CD009298","CD009298_G1_N41",1
"CD009298","CD009298_G1_N42",1
"CD009298","CD009298_G1_N43",5
"CD009298","CD009298_G1_N44",5
"CD009298","CD009298_G1_N45",1
"CD009298","CD009298_G1_N46",1
"CD009298","CD009298_G1_N47",4
"CD009298","CD009298_G1_N48",4
"CD009298","CD009298_G1_N49",4
"CD009298","CD009298_G1_N5",6
"CD009298","CD009298_G1_N50",4
"CD009298","CD009298_G1_N51",4
"CD009298","CD009298_G1_N52",4
"CD009298","CD009298_G1_N53",5
"CD009298","CD009298_G1_N54",4
"CD009298","CD009298_G1_N55",4
"CD009298","CD009298_G1_N6",8
"CD009298","CD009298_G1_N7",11
"CD009298","CD009298_G1_N8",10
"CD009298","CD009298_G1_N9",6
"CD009362","CD009362_G14_N1",1
"CD009362","CD009362_G14_N2",1
"CD009362","CD009362_G14_N3",2
"CD009362","CD009362_G15_N1",2
"CD009362","CD009362_G17_N2",1
"CD009362","CD009362_G2_N2",3
"CD009362","CD009362_G4_N1",1
"CD009362","CD009362_G7_N1",1
"CD009362","CD009362_G9_N2",1
"CD009508","CD009508_G1_N1",8
"CD009508","CD009508_G1_N2",5
"CD009508","CD009508_G2_N1",1
"CD009508","CD009508_G2_N2",1
"CD009508","CD009508_G2_N4",1
"CD009508","CD009508_G3_N1",6
"CD009508","CD009508_G3_N2",3
"CD009508","CD009508_G3_N3",1
"CD009508","CD009508_G3_N4",2
"CD009531","CD009531_G2_N17",1
"CD009609","CD009609_G1_N1",7
"CD009609","CD009609_G1_N10",7
"CD009609","CD009609_G1_N2",4
"CD009609","CD009609_G1_N3",4
"CD009609","CD009609_G1_N4",5
"CD009609","CD009609_G1_N5",4
"CD009609","CD009609_G1_N6",4
"CD009609","CD009609_G1_N7",5
"CD009609","CD009609_G1_N8",4
"CD009609","CD009609_G1_N9",8
"CD009679","CD009679_G3_N1",2
"CD009679","CD009679_G3_N2",4
"CD009679","CD009679_G4_N1",1
"CD009730","CD009730_G10_N3",1
"CD009730","CD009730_G12_N1",1
"CD009730","CD009730_G14_N2",1
"CD009730","CD009730_G17_N1",1
"CD009730","CD009730_G17_N4",1
"CD009730","CD009730_G3_N1",1
"CD009730","CD009730_G3_N2",1
"CD009730","CD009730_G3_N3",1
"CD009730","CD009730_G8_N3",1
"CD009749","CD009749_G1_N2",2
"CD009749","CD009749_G1_N4",3
"CD009749","CD009749_G1_N6",4
"CD009749","CD009749_G2_N1",2
"CD009749","CD009749_G2_N2",2
"CD009752","CD009752_G1_N1",1
"CD009752","CD009752_G1_N10",1
"CD009752","CD009752_G1_N12",2
"CD009752","CD009752_G1_N16",2
"CD009752","CD009752_G1_N18",1
"CD009752","CD009752_G1_N2",1
"CD009752","CD009752_G2_N1",1
"CD009752","CD009752_G2_N15",1
"CD009752","CD009752_G2_N16",1
"CD009752","CD009752_G2_N17",1
"CD009752","CD009752_G2_N18",1
"CD009752","CD009752_G2_N19",1
"CD009752","CD009752_G2_N2",1
"CD009752","CD009752_G2_N20",1
"CD009752","CD009752_G2_N21",1
"CD009752","CD009752_G4_N2",1
"CD009752","CD009752_G4_N3",1
"CD009752","CD009752_G5_N2",1
"CD009752","CD009752_G5_N4",1
"CD009788","CD009788_G1_N7",1
"CD010001","CD010001_G1_N2",1
"CD010001","CD010001_G1_N4",1
"CD010001","CD010001_G1_N5",1
"CD010001","CD010001_G2_N1",1
"CD010001","CD010001_G2_N2",1
"CD010001","CD010001_G2_N3",1
"CD010001","CD010001_G2_N4",3
"CD010001","CD010001_G2_N5",1
"CD010001","CD010001_G2_N6",1
"CD010001","CD010001_G3_N1",1
"CD010001","CD010001_G3_N2",1
"CD010001","CD010001_G3_N3",4
"CD010001","CD010001_G4_N2",1
"CD010001","CD010001_G4_N3",1
"CD010001","CD010001_G4_N4",1
"CD010001","CD010001_G4_N5",4
"CD010001","CD010001_G4_N6",1
"CD010145","CD010145_G1_N1",1
"CD010145","CD010145_G1_N15",1
"CD010145","CD010145_G1_N16",1
"CD010145","CD010145_G1_N17",1
"CD010145","CD010145_G1_N2",1
"CD010145","CD010145_G1_N3",1
"CD010145","CD010145_G1_N5",1
"CD010145","CD010145_G1_N6",1
"CD010145","CD010145_G1_N7",2
"CD010145","CD010145_G1_N8",1
"CD010145","CD010145_G2_N18",10
"CD010145","CD010145_G2_N19",11
"CD010145","CD010145_G2_N2",1
"CD010145","CD010145_G2_N20",11
"CD010145","CD010145_G2_N21",12
"CD010145","CD010145_G2_N3",1
"CD010145","CD010145_G2_N8",2
"CD010145","CD010145_G3_N1",1
"CD010163","CD010163_G2_N1",1
"CD010163","CD010163_G2_N3",1
"CD010189","CD010189_G1_N1",6
"CD010189","CD010189_G1_N10",6
"CD010189","CD010189_G1_N2",6
"CD010189","CD010189_G1_N3",3
"CD010189","CD010189_G1_N4",4
"CD010189","CD010189_G1_N5",3
"CD010189","CD010189_G1_N6",4
"CD010189","CD010189_G1_N7",3
"CD010189","CD010189_G1_N8",4
"CD010189","CD010189_G1_N9",5
"CD010216","CD010216_G1_N4",1
"CD010216","CD010216_G11_N1",1
"CD010216","CD010216_G13_N4",1
"CD010216","CD010216_G15_N2",1
"CD010216","CD010216_G15_N3",1
"CD010216","CD010216_G4_N1",1
"CD010216","CD010216_G4_N2",1
"CD010216","CD010216_G4_N3",1
"CD010216","CD010216_G4_N4",1
"CD010216","CD010216_G5_N1",3
"CD010216","CD010216_G5_N3",1
"CD010216","CD010216_G5_N4",1
"CD010216","CD010216_G6_N2",1
"CD010290","CD010290_G1_N8",1
"CD010290","CD010290_G3_N1",1
"CD010290","CD010290_G3_N2",1
"CD010290","CD010290_G3_N3",1
"CD010290","CD010290_G4_N6",1
"CD010441","CD010441_G1_N1",3
"CD010441","CD010441_G1_N3",2
"CD010441","CD010441_G1_N5",1
"CD010441","CD010441_G1_N6",1
"CD010441","CD010441_G2_N1",3
"CD010441","CD010441_G2_N3",1
"CD010533","CD010533_G1_N1",2
"CD010533","CD010533_G1_N2",2
"CD010533","CD010533_G1_N4",2
"CD010533","CD010533_G10_N1",2
"CD010533","CD010533_G10_N2",2
"CD010533","CD010533_G10_N3",1
"CD010533","CD010533_G10_N4",1
"CD010533","CD010533_G11_N1",3
"CD010533","CD010533_G11_N2",3
"CD010533","CD010533_G11_N3",3
"CD010533","CD010533_G11_N4",2
"CD010533","CD010533_G11_N5",3
"CD010533","CD010533_G12_N1",1
"CD010533","CD010533_G2_N1",1
"CD010533","CD010533_G2_N2",2
"CD010533","CD010533_G3_N1",2
"CD010533","CD010533_G3_N2",2
"CD010533","CD010533_G3_N3",1
"CD010533","CD010533_G3_N4",1
"CD010533","CD010533_G3_N5",1
"CD010533","CD010533_G4_N1",3
"CD010533","CD010533_G4_N2",3
"CD010533","CD010533_G4_N3",1
"CD010533","CD010533_G4_N5",1
"CD010533","CD010533_G5_N1",1
"CD010533","CD010533_G5_N2",2
"CD010533","CD010533_G5_N3",1
"CD010533","CD010533_G6_N1",1
"CD010533","CD010533_G6_N2",1
"CD010533","CD010533_G7_N1",2
"CD010533","CD010533_G7_N2",2
"CD010533","CD010533_G7_N4",1
"CD010533","CD010533_G7_N5",2
"CD010533","CD010533_G7_N6",1
"CD010533","CD010533_G7_N7",1
"CD010533","CD010533_G8_N1",2
"CD010533","CD010533_G8_N2",2
"CD010533","CD010533_G8_N3",2
"CD010583","CD010583_G1_N1",2
"CD010583","CD010583_G1_N2",1
"CD010583","CD010583_G1_N3",2
"CD010583","CD010583_G1_N4",2
"CD010583","CD010583_G1_N8",1
"CD010583","CD010583_G2_N1",2
"CD010583","CD010583_G2_N2",1
"CD010583","CD010583_G2_N3",2
"CD010583","CD010583_G3_N1",2
"CD010583","CD010583_G3_N2",3
"CD010583","CD010583_G3_N3",2
"CD010583","CD010583_G3_N4",1
"CD010583","CD010583_G3_N5",1
"CD010583","CD010583_G3_N6",1
"CD010583","CD010583_G3_N7",1
"CD010583","CD010583_G4_N1",1
"CD010583","CD010583_G4_N2",3
"CD010583","CD010583_G4_N3",3
"CD010583","CD010583_G4_N4",2
"CD010583","CD010583_G4_N5",3
"CD010583","CD010583_G4_N6",2
"CD010583","CD010583_G4_N7",1
"CD010583","CD010583_G4_N8",2
"CD010779","CD010779_G1_N1",1
"CD010779","CD010779_G1_N2",4
"CD010779","CD010779_G1_N4",1
"CD010779","CD010779_G1_N5",2
"CD010779","CD010779_G2_N1",2
"CD010779","CD010779_G2_N2",3
"CD010856","CD010856_G1_N10",1
"CD010856","CD010856_G1_N12",1
"CD010856","CD010856_G1_N2",1
"CD010856","CD010856_G1_N5",1
"CD010856","CD010856_G1_N9",1
"CD010861","CD010861_G1_N1",3
"CD010861","CD010861_G1_N10",5
"CD010861","CD010861_G1_N11",6
"CD010861","CD010861_G1_N12",10
"CD010861","CD010861_G1_N13",8
"CD010861","CD010861_G1_N14",5
"CD010861","CD010861_G1_N15",5
"CD010861","CD010861_G1_N16",7
"CD010861","CD010861_G1_N17",6
"CD010861","CD010861_G1_N18",9
"CD010861","CD010861_G1_N2",1
"CD010861","CD010861_G1_N3",2
"CD010861","CD010861_G1_N4",3
"CD010861","CD010861_G1_N5",1
"CD010861","CD010861_G1_N6",3
"CD010861","CD010861_G1_N7",7
"CD010861","CD010861_G1_N8",4
"CD010861","CD010861_G1_N9",12
"CD010861","CD010861_G2_N1",1
"CD010861","CD010861_G2_N10",2
"CD010861","CD010861_G2_N2",2
"CD010861","CD010861_G2_N3",1
"CD010861","CD010861_G2_N4",2
"CD010861","CD010861_G2_N5",1
"CD010861","CD010861_G2_N6",1
"CD010861","CD010861_G2_N7",1
"CD010861","CD010861_G2_N8",2
"CD010861","CD010861_G2_N9",1
"CD010861","CD010861_G3_N1",1
"CD010861","CD010861_G3_N2",1
"CD010861","CD010861_G3_N3",1
"CD010861","CD010861_G3_N4",2
"CD010861","CD010861_G3_N5",1
"CD010861","CD010861_G3_N6",3
"CD010861","CD010861_G3_N7",1
"CD010861","CD010861_G3_N8",1
"CD010861","CD010861_G3_N9",2
"CD010861","CD010861_G4_N1",1
"CD010861","CD010861_G4_N2",1
"CD010861","CD010861_G4_N3",1
"CD010861","CD010861_G4_N4",1
"CD010861","CD010861_G4_N5",1
"CD010861","CD010861_G4_N6",1
"CD010861","CD010861_G4_N7",1
"CD010861","CD010861_G4_N8",1
"CD010861","CD010861_G4_N9",1
"CD010861","CD010861_G5_N1",1
"CD010861","CD010861_G5_N2",3
"CD010861","CD010861_G6_N1",2
"CD010861","CD010861_G6_N10",1
"CD010861","CD010861_G6_N2",1
"CD010861","CD010861_G6_N3",2
"CD010861","CD010861_G6_N4",2
"CD010861","CD010861_G6_N5",3
"CD010861","CD010861_G6_N6",1
"CD010861","CD010861_G6_N7",5
"CD010861","CD010861_G6_N8",3
"CD010861","CD010861_G6_N9",3
"CD010861","CD010861_G7_N1",7
"CD010861","CD010861_G7_N2",6
"CD010861","CD010861_G7_N3",9
"CD010966","CD010966_G1_N5",2
"CD010966","CD010966_G10_N7",2
"CD010966","CD010966_G10_N8",2
"CD010966","CD010966_G11_N7",2
"CD010966","CD010966_G11_N8",2
"CD010966","CD010966_G15_N1",1
"CD010966","CD010966_G15_N10",1
"CD010966","CD010966_G15_N2",1
"CD010966","CD010966_G15_N3",1
"CD010966","CD010966_G15_N5",1
"CD010966","CD010966_G15_N9",1
"CD010966","CD010966_G18_N1",6
"CD010966","CD010966_G18_N10",1
"CD010966","CD010966_G18_N11",1
"CD010966","CD010966_G18_N12",1
"CD010966","CD010966_G18_N13",6
"CD010966","CD010966_G18_N14",8
"CD010966","CD010966_G18_N17",1
"CD010966","CD010966_G18_N2",1
"CD010966","CD010966_G18_N20",7
"CD010966","CD010966_G18_N24",4
"CD010966","CD010966_G18_N3",1
"CD010966","CD010966_G18_N4",1
"CD010966","CD010966_G18_N5",1
"CD010966","CD010966_G18_N6",1
"CD010966","CD010966_G18_N7",1
"CD010966","CD010966_G18_N8",1
"CD010966","CD010966_G18_N9",1
"CD010966","CD010966_G28_N7",1
"CD010966","CD010966_G29_N8",1
"CD010966","CD010966_G29_N9",1
"CD011039","CD011039_G1_N6",2
"CD011039","CD011039_G1_N7",1
"CD011044","CD011044_G1_N1",4
"CD011044","CD011044_G2_N1",8
"CD011044","CD011044_G2_N2",5
"CD011044","CD011044_G2_N3",2
"CD011044","CD011044_G3_N1",28
"CD011044","CD011044_G3_N2",20
"CD011044","CD011044_G4_N1",8
"CD011044","CD011044_G4_N10",1
"CD011044","CD011044_G4_N2",8
"CD011044","CD011044_G4_N3",3
"CD011044","CD011044_G4_N4",2
"CD011044","CD011044_G4_N5",2
"CD011044","CD011044_G4_N6",1
"CD011044","CD011044_G4_N7",1
"CD011044","CD011044_G4_N8",2
"CD011044","CD011044_G4_N9",1
"CD011044","CD011044_G5_N1",4
"CD011044","CD011044_G5_N2",2
"CD011060","CD011060_G1_N2",1
"CD011120","CD011120_G4_N3",1
"CD011192","CD011192_G1_N1",1
"CD011192","CD011192_G1_N11",1
"CD011192","CD011192_G1_N12",1
"CD011192","CD011192_G1_N13",1
"CD011192","CD011192_G1_N14",1
"CD011192","CD011192_G1_N15",1
"CD011192","CD011192_G1_N16",1
"CD011192","CD011192_G1_N17",1
"CD011192","CD011192_G1_N18",1
"CD011192","CD011192_G1_N19",1
"CD011192","CD011192_G1_N2",1
"CD011192","CD011192_G1_N21",1
"CD011192","CD011192_G1_N23",1
"CD011192","CD011192_G1_N26",1
"CD011192","CD011192_G1_N3",1
"CD011192","CD011192_G1_N4",1
"CD011192","CD011192_G1_N5",1
"CD011192","CD011192_G1_N7",1
"CD011192","CD011192_G1_N8",1
"CD011192","CD011192_G1_N9",1
"CD011197","CD011197_G1_N10",1
"CD011197","CD011197_G1_N15",1
"CD011197","CD011197_G1_N16",2
"CD011197","CD011197_G1_N17",1
"CD011197","CD011197_G1_N18",1
"CD011197","CD011197_G1_N19",1
"CD011197","CD011197_G1_N2",2
"CD011197","CD011197_G1_N20",1
"CD011197","CD011197_G1_N4",1
"CD011197","CD011197_G1_N5",3
"CD011197","CD011197_G1_N6",3
"CD011197","CD011197_G1_N7",3
"CD011197","CD011197_G1_N8",1
"CD011204","CD011204_G1_N2",2
"CD011204","CD011204_G13_N2",1
"CD011204","CD011204_G15_N2",1
"CD011204","CD011204_G17_N2",2
"CD011204","CD011204_G18_N2",2
"CD011204","CD011204_G21_N1",2
"CD011204","CD011204_G21_N10",1
"CD011204","CD011204_G21_N2",2
"CD011204","CD011204_G21_N4",2
"CD011204","CD011204_G21_N5",2
"CD011204","CD011204_G21_N6",1
"CD011204","CD011204_G21_N9",1
"CD011204","CD011204_G23_N2",2
"CD011204","CD011204_G29_N1",1
"CD011218","CD011218_G1_N1",3
"CD011218","CD011218_G1_N2",2
"CD011218","CD011218_G1_N3",2
"CD011218","CD011218_G2_N1",2
"CD011218","CD011218_G3_N1",1
"CD011218","CD011218_G4_N1",1
"CD011305","CD011305_G1_N1",1
"CD011305","CD011305_G1_N10",1
"CD011305","CD011305_G1_N12",1
"CD011305","CD011305_G1_N17",1
"CD011305","CD011305_G1_N2",2
"CD011305","CD011305_G1_N21",1
"CD011305","CD011305_G1_N3",3
"CD011305","CD011305_G1_N6",2
"CD011305","CD011305_G1_N7",1
"CD011305","CD011305_G1_N8",1
"CD011305","CD011305_G1_N9",2
"CD011330","CD011330_G1_N2",1
"CD011381","CD011381_G1_N1",1
"CD011535","CD011535_G1_N1",6
"CD011535","CD011535_G1_N10",10
"CD011535","CD011535_G1_N11",10
"CD011535","CD011535_G1_N12",5
"CD011535","CD011535_G1_N13",9
"CD011535","CD011535_G1_N14",5
"CD011535","CD011535_G1_N15",4
"CD011535","CD011535_G1_N2",4
"CD011535","CD011535_G1_N3",2
"CD011535","CD011535_G1_N4",35
"CD011535","CD011535_G1_N5",11
"CD011535","CD011535_G1_N6",38
"CD011535","CD011535_G1_N7",18
"CD011535","CD011535_G1_N8",12
"CD011535","CD011535_G1_N9",2
"CD011535","CD011535_G2_N1",6
"CD011535","CD011535_G2_N10",9
"CD011535","CD011535_G2_N11",10
"CD011535","CD011535_G2_N12",4
"CD011535","CD011535_G2_N13",1
"CD011535","CD011535_G2_N14",12
"CD011535","CD011535_G2_N15",5
"CD011535","CD011535_G2_N16",5
"CD011535","CD011535_G2_N2",3
"CD011535","CD011535_G2_N3",2
"CD011535","CD011535_G2_N4",35
"CD011535","CD011535_G2_N5",12
"CD011535","CD011535_G2_N6",37
"CD011535","CD011535_G2_N7",19
"CD011535","CD011535_G2_N8",13
"CD011535","CD011535_G2_N9",2
"CD011535","CD011535_G3_N1",6
"CD011535","CD011535_G3_N10",10
"CD011535","CD011535_G3_N11",10
"CD011535","CD011535_G3_N12",4
"CD011535","CD011535_G3_N13",11
"CD011535","CD011535_G3_N14",5
"CD011535","CD011535_G3_N15",7
"CD011535","CD011535_G3_N2",3
"CD011535","CD011535_G3_N3",2
"CD011535","CD011535_G3_N4",37
"CD011535","CD011535_G3_N5",12
"CD011535","CD011535_G3_N6",36
"CD011535","CD011535_G3_N7",17
"CD011535","CD011535_G3_N8",13
"CD011535","CD011535_G3_N9",2
"CD011535","CD011535_G4_N1",7
"CD011535","CD011535_G4_N10",9
"CD011535","CD011535_G4_N11",10
"CD011535","CD011535_G4_N12",5
"CD011535","CD011535_G4_N13",1
"CD011535","CD011535_G4_N14",11
"CD011535","CD011535_G4_N15",5
"CD011535","CD011535_G4_N16",4
"CD011535","CD011535_G4_N2",2
"CD011535","CD011535_G4_N3",1
"CD011535","CD011535_G4_N4",31
"CD011535","CD011535_G4_N5",12
"CD011535","CD011535_G4_N6",34
"CD011535","CD011535_G4_N7",19
"CD011535","CD011535_G4_N8",11
"CD011535","CD011535_G4_N9",2
"CD011535","CD011535_G5_N1",2
"CD011535","CD011535_G5_N10",2
"CD011535","CD011535_G5_N11",10
"CD011535","CD011535_G5_N12",4
"CD011535","CD011535_G5_N13",4
"CD011535","CD011535_G5_N2",1
"CD011535","CD011535_G5_N3",26
"CD011535","CD011535_G5_N4",8
"CD011535","CD011535_G5_N5",11
"CD011535","CD011535_G5_N6",11
"CD011535","CD011535_G5_N7",7
"CD011535","CD011535_G5_N8",1
"CD011535","CD011535_G5_N9",7
"CD011535","CD011535_G6_N1",6
"CD011535","CD011535_G6_N10",9
"CD011535","CD011535_G6_N11",10
"CD011535","CD011535_G6_N12",4
"CD011535","CD011535_G6_N13",1
"CD011535","CD011535_G6_N14",12
"CD011535","CD011535_G6_N15",5
"CD011535","CD011535_G6_N16",5
"CD011535","CD011535_G6_N2",3
"CD011535","CD011535_G6_N3",2
"CD011535","CD011535_G6_N4",31
"CD011535","CD011535_G6_N5",12
"CD011535","CD011535_G6_N6",37
"CD011535","CD011535_G6_N7",19
"CD011535","CD011535_G6_N8",12
"CD011535","CD011535_G6_N9",2
"CD011535","CD011535_G8_N1",1
"CD011575","CD011575_G1_N14",1
"CD011575","CD011575_G1_N16",2
"CD011575","CD011575_G1_N17",3
"CD011575","CD011575_G1_N18",3
"CD011575","CD011575_G1_N19",2
"CD011575","CD011575_G1_N20",2
"CD011575","CD011575_G1_N6",1
"CD011600","CD011600_G1_N1",5
"CD011600","CD011600_G1_N13",3
"CD011600","CD011600_G1_N17",1
"CD011600","CD011600_G1_N2",5
"CD011600","CD011600_G1_N24",3
"CD011600","CD011600_G1_N4",10
"CD011600","CD011600_G1_N5",4
"CD011600","CD011600_G1_N6",4
"CD011600","CD011600_G1_N7",2
"CD011600","CD011600_G1_N8",1
"CD011600","CD011600_G2_N1",4
"CD011600","CD011600_G2_N13",3
"CD011600","CD011600_G2_N17",1
"CD011600","CD011600_G2_N2",4
"CD011600","CD011600_G2_N24",3
"CD011600","CD011600_G2_N4",8
"CD011600","CD011600_G2_N5",4
"CD011600","CD011600_G2_N6",3
"CD011600","CD011600_G2_N7",1
"CD011600","CD011600_G2_N8",1
"CD011624","CD011624_G1_N1",2
"CD011624","CD011624_G1_N12",4
"CD011624","CD011624_G1_N18",1
"CD011624","CD011624_G1_N20",1
"CD011624","CD011624_G1_N23",3
"CD011624","CD011624_G1_N24",3
"CD011624","CD011624_G1_N25",1
"CD011624","CD011624_G1_N26",4
"CD011624","CD011624_G1_N27",4
"CD011624","CD011624_G1_N28",1
"CD011624","CD011624_G1_N29",1
"CD011624","CD011624_G1_N3",3
"CD011624","CD011624_G1_N30",1
"CD011624","CD011624_G1_N31",1
"CD011624","CD011624_G1_N32",1
"CD011624","CD011624_G1_N33",3
"CD011624","CD011624_G1_N34",2
"CD011624","CD011624_G1_N37",1
"CD011624","CD011624_G1_N4",3
"CD011624","CD011624_G1_N41",2
"CD011624","CD011624_G1_N42",1
"CD011624","CD011624_G1_N43",1
"CD011624","CD011624_G1_N44",1
"CD011624","CD011624_G1_N5",3
"CD011624","CD011624_G1_N7",1
"CD011624","CD011624_G1_N8",1
"CD011626","CD011626_G1_N4",9
"CD011626","CD011626_G1_N6",1
"CD011626","CD011626_G2_N2",8
"CD011627","CD011627_G1_N1",4
"CD011627","CD011627_G2_N1",6
"CD011627","CD011627_G3_N1",8
"CD011627","CD011627_G3_N2",1
"CD011627","CD011627_G3_N3",1
"CD011627","CD011627_G3_N4",1
"CD011671","CD011671_G1_N1",16
"CD011671","CD011671_G1_N10",4
"CD011671","CD011671_G1_N5",6
"CD011671","CD011671_G1_N6",7
"CD011671","CD011671_G1_N7",8
"CD011671","CD011671_G1_N8",4
"CD011671","CD011671_G1_N9",3
"CD011689","CD011689_G1_N10",1
"CD011689","CD011689_G1_N2",1
"CD011689","CD011689_G10_N12",1
"CD011689","CD011689_G10_N8",1
"CD011689","CD011689_G12_N13",1
"CD011689","CD011689_G12_N3",1
"CD011689","CD011689_G12_N8",1
"CD011689","CD011689_G36_N8",1
"CD011689","CD011689_G38_N11",1
"CD011689","CD011689_G38_N12",1
"CD011689","CD011689_G38_N13",1
"CD011689","CD011689_G38_N14",1
"CD011689","CD011689_G38_N3",1
"CD011689","CD011689_G38_N7",1
"CD011689","CD011689_G40_N11",1
"CD011689","CD011689_G40_N12",1
"CD011689","CD011689_G40_N13",1
"CD011689","CD011689_G40_N14",1
"CD011689","CD011689_G40_N3",1
"CD011689","CD011689_G40_N7",1
"CD011689","CD011689_G40_N9",1
"CD011689","CD011689_G52_N11",1
"CD011689","CD011689_G52_N12",1
"CD011689","CD011689_G52_N13",1
"CD011689","CD011689_G52_N14",1
"CD011689","CD011689_G52_N3",1
"CD011689","CD011689_G52_N7",1
"CD011689","CD011689_G6_N10",2
"CD011689","CD011689_G66_N11",1
"CD011689","CD011689_G66_N12",1
"CD011689","CD011689_G66_N13",1
"CD011689","CD011689_G66_N14",1
"CD011689","CD011689_G66_N3",1
"CD011689","CD011689_G66_N7",1
"CD011689","CD011689_G68_N11",1
"CD011689","CD011689_G68_N12",1
"CD011689","CD011689_G68_N13",1
"CD011689","CD011689_G68_N14",1
"CD011689","CD011689_G68_N3",1
"CD011689","CD011689_G68_N7",1
"CD011689","CD011689_G69_N16",1
"CD011689","CD011689_G80_N11",1
"CD011689","CD011689_G80_N12",1
"CD011689","CD011689_G80_N13",1
"CD011689","CD011689_G80_N14",1
"CD011689","CD011689_G80_N3",1
"CD011689","CD011689_G80_N7",1
"CD011762","CD011762_G1_N1",15
"CD011762","CD011762_G1_N14",12
"CD011762","CD011762_G1_N2",23
"CD011762","CD011762_G1_N3",24
"CD011762","CD011762_G1_N4",28
"CD011762","CD011762_G1_N5",13
"CD011762","CD011762_G1_N6",16
"CD011762","CD011762_G10_N2",21
"CD011762","CD011762_G10_N3",23
"CD011762","CD011762_G10_N4",24
"CD011762","CD011762_G10_N5",10
"CD011762","CD011762_G10_N6",14
"CD011762","CD011762_G11_N1",14
"CD011762","CD011762_G11_N14",10
"CD011762","CD011762_G11_N2",21
"CD011762","CD011762_G11_N3",21
