"analysis_id","review_id","outcome_type","measure","k","MAFI","MAFI_class","I2","estimate","pval","study_year"
"CD013508_G1_N9","CD013508","GENSUM","GIV",10,0.15,"Robust",0,0,1,2012.5
"CD013539_G1_N1","CD013539","GENSUM","GIV",5,0.495,"Moderate Fragility",0,-0.0044,0.9236,2020
"CD013539_G1_N3","CD013539","GENSUM","GIV",5,0.349,"Moderate Fragility",0,0.0548,0.3678,2020
"CD013539_G3_N1","CD013539","GENSUM","GIV",4,0.471,"Moderate Fragility",3,-0.0594,0.3728,2019
"CD013541_G1_N1","CD013541","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2000
"CD013541_G1_N2","CD013541","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2000
"CD013541_G1_N3","CD013541","GENSUM","GIV",5,0.225,"Low Fragility",0,0,1,1999
"CD013541_G1_N4","CD013541","GENSUM","GIV",5,0.225,"Low Fragility",0,0,1,1999
"CD013541_G13_N1","CD013541","GENSUM","GIV",6,0.21,"Low Fragility",0,0,1,2009
"CD013541_G13_N3","CD013541","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2008.5
"CD013541_G14_N1","CD013541","GENSUM","GIV",5,0.225,"Low Fragility",0,0,1,2008
"CD013541_G14_N3","CD013541","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2008
"CD013541_G17_N1","CD013541","GENSUM","GIV",5,0.225,"Low Fragility",0,0,1,2009
"CD013541_G17_N3","CD013541","GENSUM","GIV",8,0.18,"Low Fragility",0,0,1,1999
"CD013541_G17_N4","CD013541","GENSUM","GIV",8,0.18,"Low Fragility",0,0,1,2006
"CD013541_G2_N1","CD013541","GENSUM","GIV",7,0.195,"Low Fragility",0,0,1,2008
"CD013541_G2_N2","CD013541","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2005
"CD013541_G2_N3","CD013541","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2008
"CD013541_G6_N2","CD013541","GENSUM","GIV",5,0.225,"Low Fragility",0,0,1,1995
"CD013541_G6_N4","CD013541","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2009
"CD013541_G6_N6","CD013541","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2009
"CD013541_G6_N7","CD013541","GENSUM","GIV",6,0.21,"Low Fragility",0,0,1,2008
"CD013541_G6_N9","CD013541","GENSUM","GIV",5,0.225,"Low Fragility",0,0,1,2008
"CD013541_G7_N1","CD013541","GENSUM","GIV",7,0.195,"Low Fragility",0,0,1,2012
"CD013541_G7_N4","CD013541","GENSUM","GIV",6,0.21,"Low Fragility",0,0,1,2012.5
"CD013541_G7_N7","CD013541","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2014.5
"CD013541_G8_N1","CD013541","GENSUM","GIV",6,0.21,"Low Fragility",0,0,1,2008.5
"CD013541_G8_N2","CD013541","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2009
"CD013561_G2_N2","CD013561","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2011
"CD013561_G2_N3","CD013561","GENSUM","GIV",5,0.225,"Low Fragility",0,0,1,2010
"CD013561_G2_N4","CD013561","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2011
"CD013590_G15_N2","CD013590","GENSUM","GIV",3,0.3,"Low Fragility",0,0.4071,0.1681,2010
"CD013590_G3_N1","CD013590","GENSUM","GIV",3,0.391,"Moderate Fragility",0,-0.3858,0.0015,1995
"CD013590_G3_N10","CD013590","GENSUM","GIV",3,0.808,"High Fragility",93,-2.4987,0.4752,2008
"CD013590_G3_N7","CD013590","GENSUM","GIV",3,0.439,"Moderate Fragility",0,-0.251,0.2707,1995
"CD013590_G7_N1","CD013590","GENSUM","GIV",3,0.514,"High Fragility",0,-0.1737,0.0097,2018
"CD013591_G1_N1","CD013591","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2022
"CD013591_G1_N2","CD013591","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2022
"CD013591_G1_N3","CD013591","GENSUM","GIV",8,0.18,"Low Fragility",0,0,1,2019
"CD013591_G1_N4","CD013591","GENSUM","GIV",9,0.165,"Low Fragility",0,0,1,2019
"CD013591_G1_N7","CD013591","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2022
"CD013591_G1_N8","CD013591","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2019
"CD013591_G1_N9","CD013591","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2022
"CD013595_G1_N3","CD013595","GENSUM","GIV",3,0.404,"Moderate Fragility",0,-0.3845,0.0018,NA
"CD013595_G2_N1","CD013595","GENSUM","GIV",3,0.377,"Moderate Fragility",49,-0.7448,0,NA
"CD013643_G1_N14","CD013643","GENSUM","GIV",5,0.225,"Low Fragility",0,0,1,2021
"CD013643_G1_N3","CD013643","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2023
"CD013715_G1_N7","CD013715","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2015
"CD013715_G2_N16","CD013715","GENSUM","GIV",8,0.18,"Low Fragility",0,0,1,2011
"CD013757_G1_N1","CD013757","GENSUM","GIV",6,0.21,"Low Fragility",0,0,1,2008
"CD013757_G1_N7","CD013757","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2013
"CD013774_G1_N1","CD013774","GENSUM","GIV",3,0.36,"Moderate Fragility",0,-0.0332,0.5264,2020
"CD013774_G1_N6","CD013774","GENSUM","GIV",3,0.505,"High Fragility",0,-0.0264,0.6257,2020
"CD013774_G1_N8","CD013774","GENSUM","GIV",3,0.562,"High Fragility",28.6,-0.0379,0.7685,2020
"CD013774_G2_N6","CD013774","GENSUM","GIV",3,0.646,"High Fragility",62.6,-0.2218,0.1292,2017
"CD013801_G1_N2","CD013801","GENSUM","GEN_CI",3,0.535,"High Fragility",27.3,-1.1346,0.2162,2007
"CD013801_G1_N21","CD013801","GENSUM","GEN_CI",4,0.404,"Moderate Fragility",58.8,0.3196,7e-04,2015
"CD013801_G1_N28","CD013801","GENSUM","GEN_CI",5,0.435,"Moderate Fragility",0,0.003,0.8883,2019
"CD013801_G2_N1","CD013801","GENSUM","GEN_CI",4,0.525,"High Fragility",89.1,0.7028,0.1378,2005.5
"CD013801_G2_N27","CD013801","GENSUM","GEN_CI",5,0.225,"Low Fragility",0,0,1,2010
"CD013821_G1_N11","CD013821","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2015
"CD013821_G1_N7","CD013821","GENSUM","GIV",16,0.06,"Robust",0,0,1,2016.5
"CD013821_G1_N9","CD013821","GENSUM","GIV",14,0.09,"Robust",0,0,1,2017
"CD013822_G2_N3","CD013822","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2019
"CD013822_G3_N3","CD013822","GENSUM","GIV",9,0.165,"Low Fragility",0,0,1,2019
"CD013822_G3_N5","CD013822","GENSUM","GIV",5,0.225,"Low Fragility",0,0,1,2020
"CD013822_G3_N9","CD013822","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2021
"CD013834_G1_N4","CD013834","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,NA
"CD013874_G10_N2","CD013874","GENSUM","GIV",3,0.498,"Moderate Fragility",15.9,0.6941,0.093,2020
"CD013874_G10_N6","CD013874","GENSUM","GIV",3,0.596,"High Fragility",73.3,-0.8139,0.0607,2020
"CD013874_G2_N1","CD013874","GENSUM","GIV",4,0.264,"Low Fragility",0,-1.5798,0,2018
"CD013874_G2_N3","CD013874","GENSUM","GIV",4,0.249,"Low Fragility",0,-2.1192,0,2018
"CD013874_G5_N1","CD013874","GENSUM","GIV",5,0.455,"Moderate Fragility",9.8,0.0407,0.7891,2019
"CD013874_G5_N10","CD013874","GENSUM","GIV",3,0.585,"High Fragility",63,-1.5092,0.0672,2019
"CD013874_G5_N11","CD013874","GENSUM","GIV",3,0.675,"High Fragility",95.5,-1.7564,0.239,2022
"CD013874_G5_N14","CD013874","GENSUM","GIV",3,0.538,"High Fragility",0,-0.3087,0.5396,2019
"CD013874_G5_N15","CD013874","GENSUM","GIV",5,0.332,"Moderate Fragility",0,-0.2203,0.0039,2022
"CD013874_G5_N2","CD013874","GENSUM","GIV",6,0.542,"High Fragility",95.9,-0.486,0.2554,2019
"CD013874_G5_N4","CD013874","GENSUM","GIV",7,0.22,"Low Fragility",0,0.361,0.0012,2020
"CD013874_G5_N5","CD013874","GENSUM","GIV",3,0.326,"Moderate Fragility",0,-0.2834,0.0092,2020
"CD014089_G1_N1","CD014089","GENSUM","GIV",9,0.359,"Moderate Fragility",75.7,-3.0947,0.0047,2010
"CD014089_G1_N2","CD014089","GENSUM","GIV",9,0.382,"Moderate Fragility",79.7,-6.0964,0.0054,2010
"CD014089_G1_N4","CD014089","GENSUM","GIV",5,0.733,"High Fragility",63.8,-0.1196,0.7057,2010
"CD014089_G1_N7","CD014089","GENSUM","GIV",8,0.339,"Moderate Fragility",63.3,-0.7756,5e-04,2010
"CD014089_G2_N1","CD014089","GENSUM","GIV",11,0.31,"Moderate Fragility",69.2,-3.1641,0.0011,2010
"CD014089_G2_N2","CD014089","GENSUM","GIV",11,0.333,"Moderate Fragility",82,-7.5598,0.0013,2010
"CD014089_G3_N1","CD014089","GENSUM","GIV",10,0.333,"Moderate Fragility",72.3,-3.1608,0.0018,2010
"CD014089_G3_N2","CD014089","GENSUM","GIV",10,0.351,"Moderate Fragility",83.3,-7.4259,0.0016,2010
"CD014089_G4_N1","CD014089","GENSUM","GIV",3,0.425,"Moderate Fragility",10.2,-0.9163,0.3012,2011
"CD014089_G4_N2","CD014089","GENSUM","GIV",3,0.632,"High Fragility",78.8,-7.7845,0.117,2011
"CD014089_G5_N1","CD014089","GENSUM","GIV",9,0.359,"Moderate Fragility",75.7,-3.0947,0.0047,2010
"CD014089_G5_N2","CD014089","GENSUM","GIV",9,0.382,"Moderate Fragility",79.7,-6.0964,0.0054,2010
"CD014089_G6_N1","CD014089","GENSUM","GIV",9,0.315,"Moderate Fragility",52.2,-2.5736,0.0053,2010
"CD014089_G6_N2","CD014089","GENSUM","GIV",9,0.353,"Moderate Fragility",66.3,-5.1084,0.0104,2010
"CD014089_G6_N4","CD014089","GENSUM","GIV",5,0.733,"High Fragility",63.8,-0.1196,0.7057,2010
"CD014428_G1_N1","CD014428","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2015
"CD014428_G2_N1","CD014428","GENSUM","GIV",5,0.225,"Low Fragility",0,0,1,2020
"CD014428_G2_N2","CD014428","GENSUM","GIV",5,0.225,"Low Fragility",0,0,1,2017
"CD014541_G1_N1","CD014541","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2017
"CD014541_G1_N11","CD014541","GENSUM","GIV",5,0.225,"Low Fragility",0,0,1,2013
"CD014541_G1_N12","CD014541","GENSUM","GIV",5,0.225,"Low Fragility",0,0,1,2013
"CD014541_G1_N19","CD014541","GENSUM","GIV",5,0.225,"Low Fragility",0,0,1,2013
"CD014541_G1_N2","CD014541","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2017
"CD014541_G1_N22","CD014541","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2012
"CD014541_G1_N26","CD014541","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2012
"CD014541_G1_N27","CD014541","GENSUM","GIV",6,0.21,"Low Fragility",0,0,1,2014.5
"CD014541_G1_N3","CD014541","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2016
"CD014544_G2_N1","CD014544","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2018
"CD014544_G2_N4","CD014544","GENSUM","GIV",6,0.21,"Low Fragility",0,0,1,2018
"CD014544_G3_N1","CD014544","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2019
"CD014544_G3_N5","CD014544","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2019
"CD014544_G4_N1","CD014544","GENSUM","GIV",5,0.225,"Low Fragility",0,0,1,2018
"CD014544_G4_N6","CD014544","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2018
"CD014544_G5_N6","CD014544","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2018
"CD014544_G6_N1","CD014544","GENSUM","GIV",5,0.225,"Low Fragility",0,0,1,2018
"CD014544_G6_N6","CD014544","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2018
"CD014585_G1_N1","CD014585","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2005
"CD014585_G1_N3","CD014585","GENSUM","GIV",7,0.195,"Low Fragility",0,0,1,2007
"CD014585_G1_N4","CD014585","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2007
"CD014585_G4_N2","CD014585","GENSUM","GIV",11,0.135,"Robust",0,0,1,2006
"CD014585_G4_N3","CD014585","GENSUM","GIV",12,0.12,"Robust",0,0,1,2006
"CD014585_G5_N1","CD014585","GENSUM","GIV",8,0.18,"Low Fragility",0,0,1,2005
"CD014585_G5_N2","CD014585","GENSUM","GIV",11,0.135,"Robust",0,0,1,2006
"CD014585_G5_N3","CD014585","GENSUM","GIV",12,0.12,"Robust",0,0,1,2006
"CD014617_G2_N2","CD014617","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,1975
"CD014624_G1_N1","CD014624","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2017.5
"CD014624_G1_N2","CD014624","GENSUM","GIV",16,0.06,"Robust",0,0,1,2017
"CD014624_G1_N3","CD014624","GENSUM","GIV",8,0.18,"Low Fragility",0,0,1,2018
"CD014624_G1_N4","CD014624","GENSUM","GIV",49,0.109,"Robust",51.2,-2.364,0,2018
"CD014624_G2_N1","CD014624","GENSUM","GIV",9,0.165,"Low Fragility",0,0,1,2023
"CD014624_G2_N3","CD014624","GENSUM","GIV",9,0.165,"Low Fragility",0,0,1,2023
"CD014624_G2_N5","CD014624","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2021
"CD014624_G2_N6","CD014624","GENSUM","GIV",9,0.17,"Low Fragility",0,-3.3293,0,2023
"CD014624_G2_N9","CD014624","GENSUM","GIV",4,0.533,"High Fragility",0,2.5411,0.0231,2021
"CD014624_G3_N1","CD014624","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2018
"CD014624_G3_N2","CD014624","GENSUM","GIV",15,0.075,"Robust",0,0,1,2017
"CD014624_G3_N3","CD014624","GENSUM","GIV",8,0.18,"Low Fragility",0,0,1,2018
"CD014624_G3_N4","CD014624","GENSUM","GIV",44,0.114,"Robust",53.9,-2.5855,0,2018
"CD014666_G4_N5","CD014666","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2000
"CD014688_G2_N1","CD014688","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2015
"CD014713_G1_N1","CD014713","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2013
"CD014736_G2_N2","CD014736","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2017
"CD014741_G1_N5","CD014741","GENSUM","GIV",4,0.718,"High Fragility",76.5,0.0594,0.873,2012.5
"CD014741_G1_N6","CD014741","GENSUM","GIV",4,0.615,"High Fragility",0,-0.1744,0.428,2012.5
"CD014741_G2_N4","CD014741","GENSUM","GIV",4,0.247,"Low Fragility",0,3.3282,0,2017.5
"CD014741_G2_N5","CD014741","GENSUM","GIV",5,0.363,"Moderate Fragility",0,0.0953,0.3909,2016
"CD014741_G3_N4","CD014741","GENSUM","GIV",22,0.141,"Robust",57.8,0.2744,0,2006.5
"CD014741_G3_N5","CD014741","GENSUM","GIV",22,0.09,"Robust",10.8,0.1266,0.112,2006.5
"CD014741_G4_N5","CD014741","GENSUM","GIV",12,0.475,"Moderate Fragility",65.1,-0.0239,0.7788,2017
"CD014741_G4_N6","CD014741","GENSUM","GIV",12,0.26,"Low Fragility",0,0.1073,3e-04,2017
"CD014741_G5_N5","CD014741","GENSUM","GIV",3,0.719,"High Fragility",40.6,-0.2109,0.5361,2018
"CD014741_G5_N6","CD014741","GENSUM","GIV",4,0.398,"Moderate Fragility",0,-0.4187,0.2569,2019.5
"CD014741_G6_N3","CD014741","GENSUM","GIV",6,0.232,"Low Fragility",0,0.161,3e-04,2001
"CD014741_G6_N4","CD014741","GENSUM","GIV",7,0.334,"Moderate Fragility",0,0.2056,0.0149,2001
"CD014758_G2_N1","CD014758","GENSUM","GIV",22,0.151,"Low Fragility",66.9,0.1799,0,2001.5
"CD014758_G2_N2","CD014758","GENSUM","GIV",10,0.267,"Low Fragility",47.6,-0.0843,0,2006
"CD014758_G3_N1","CD014758","GENSUM","GIV",6,0.21,"Low Fragility",0,0,1,2021
"CD014758_G3_N2","CD014758","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2022
"CD014758_G4_N1","CD014758","GENSUM","GIV",19,0.167,"Low Fragility",69.8,0.3023,0,2019
"CD014758_G4_N2","CD014758","GENSUM","GIV",19,0.132,"Robust",51.6,-0.133,0,2019
"CD014758_G6_N1","CD014758","GENSUM","GIV",16,0.233,"Low Fragility",56.5,-0.204,0,2022
"CD014758_G7_N1","CD014758","GENSUM","GIV",21,0.209,"Low Fragility",95.6,0.3631,0,2022
"CD014758_G7_N2","CD014758","GENSUM","GIV",22,0.205,"Low Fragility",96.4,-0.1441,0,2022
"CD014758_G7_N3","CD014758","GENSUM","GIV",12,0.342,"Moderate Fragility",98.1,0.4964,3e-04,2022
"CD014758_G7_N4","CD014758","GENSUM","GIV",12,0.371,"Moderate Fragility",97.6,-0.2211,0,2023
"CD014758_G8_N1","CD014758","GENSUM","GIV",16,0.264,"Low Fragility",90.3,0.2545,0,2023
"CD014758_G8_N2","CD014758","GENSUM","GIV",17,0.217,"Low Fragility",76.1,-0.1011,0,2023
"CD014758_G8_N3","CD014758","GENSUM","GIV",9,0.401,"Moderate Fragility",97.3,0.3538,0.0049,2023
"CD014758_G8_N4","CD014758","GENSUM","GIV",10,0.368,"Moderate Fragility",95.3,-0.166,2e-04,2023
"CD014769_G1_N1","CD014769","GENSUM","GIV",6,0.21,"Low Fragility",0,0,1,2010.5
"CD014769_G1_N12","CD014769","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2004
"CD014769_G1_N13","CD014769","GENSUM","GIV",6,0.21,"Low Fragility",0,0,1,2013.5
"CD014769_G1_N2","CD014769","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2013.5
"CD014769_G1_N21","CD014769","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2006.5
"CD014769_G1_N22","CD014769","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,2008
"CD014769_G1_N23","CD014769","GENSUM","GIV",11,0.135,"Robust",0,0,1,2006
"CD014769_G1_N24","CD014769","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2007
"CD014769_G1_N25","CD014769","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2008
"CD014769_G1_N5","CD014769","GENSUM","GIV",26,0,"Robust",0,0,1,2006
"CD014769_G1_N6","CD014769","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2016
"CD014769_G1_N7","CD014769","GENSUM","GIV",8,0.18,"Low Fragility",0,0,1,2009.5
"CD014769_G1_N8","CD014769","GENSUM","GIV",11,0.135,"Robust",0,0,1,2006
"CD014769_G1_N9","CD014769","GENSUM","GIV",26,0,"Robust",0,0,1,2006
"CD014792_G1_N2","CD014792","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2011
"CD014792_G3_N5","CD014792","GENSUM","GIV",6,0.21,"Low Fragility",0,0,1,2008.5
"CD014803_G1_N1","CD014803","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2020
"CD014820_G1_N4","CD014820","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2012
"CD014820_G3_N4","CD014820","GENSUM","GIV",9,0.165,"Low Fragility",0,0,1,2013
"CD014820_G3_N5","CD014820","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2014
"CD014820_G3_N6","CD014820","GENSUM","GIV",11,0.135,"Robust",0,0,1,2013
"CD014820_G4_N4","CD014820","GENSUM","GIV",10,0.15,"Robust",0,0,1,2013
"CD014820_G4_N5","CD014820","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2014
"CD014820_G4_N6","CD014820","GENSUM","GIV",11,0.135,"Robust",0,0,1,2013
"CD014820_G9_N4","CD014820","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2012
"CD014845_G1_N1","CD014845","GENSUM","GIV",19,0.031,"Robust",0,-0.0548,0,2015
"CD014845_G1_N2","CD014845","GENSUM","GIV",19,0.031,"Robust",0,-0.0548,0,2015
"CD014845_G1_N3","CD014845","GENSUM","GIV",20,0.017,"Robust",0,-0.0564,0,2015.5
"CD014845_G1_N4","CD014845","GENSUM","GIV",19,0.031,"Robust",0,-0.0548,0,2015
"CD014845_G1_N5","CD014845","GENSUM","GIV",19,0.031,"Robust",0,-0.0548,0,2015
"CD014845_G1_N6","CD014845","GENSUM","GIV",19,0.031,"Robust",0,-0.0548,0,2015
"CD014845_G1_N7","CD014845","GENSUM","GIV",16,0.093,"Robust",0,-0.0656,0,2014
"CD014855_G1_N1","CD014855","GENSUM","GIV",7,0.195,"Low Fragility",0,0,1,2003
"CD014855_G1_N2","CD014855","GENSUM","GIV",7,0.195,"Low Fragility",0,0,1,2011
"CD014855_G1_N4","CD014855","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,1978
"CD014855_G1_N5","CD014855","GENSUM","GIV",5,0.225,"Low Fragility",0,0,1,2016
"CD014855_G2_N2","CD014855","GENSUM","GIV",5,0.225,"Low Fragility",0,0,1,2003
"CD014855_G3_N2","CD014855","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2016
"CD014861_G1_N11","CD014861","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2001
"CD014861_G1_N8","CD014861","GENSUM","GIV",5,0.475,"Moderate Fragility",0,0.1323,0.6917,2013
"CD014869_G1_N1","CD014869","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,1998
"CD014869_G1_N6","CD014869","GENSUM","GIV",6,0.21,"Low Fragility",0,0,1,1998
"CD014869_G1_N7","CD014869","GENSUM","GIV",6,0.21,"Low Fragility",0,0,1,1998
"CD014872_G1_N1","CD014872","GENSUM","GIV",14,0.188,"Low Fragility",42.9,-0.4161,0,2020
"CD014872_G1_N11","CD014872","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2020
"CD014872_G1_N2","CD014872","GENSUM","GIV",14,0.188,"Low Fragility",42.9,-0.4161,0,2020
"CD014872_G1_N3","CD014872","GENSUM","GIV",15,0.171,"Low Fragility",41.4,-0.4245,0,2020
"CD014872_G1_N4","CD014872","GENSUM","GIV",14,0.188,"Low Fragility",42.9,-0.4162,0,2020
"CD014872_G1_N5","CD014872","GENSUM","GIV",14,0.212,"Low Fragility",48,-0.164,0.0122,2020
"CD014872_G1_N6","CD014872","GENSUM","GIV",14,0.212,"Low Fragility",48,-0.164,0.0122,2020
"CD014872_G1_N7","CD014872","GENSUM","GIV",15,0.191,"Low Fragility",45.4,-0.1679,0.0097,2020
"CD014872_G1_N8","CD014872","GENSUM","GIV",14,0.212,"Low Fragility",47.9,-0.1638,0.0123,2020
"CD014872_G1_N9","CD014872","GENSUM","GIV",6,0.21,"Low Fragility",0,0,1,2021
"CD014872_G2_N1","CD014872","GENSUM","GIV",14,0.185,"Low Fragility",41.7,-0.4906,0,2020
"CD014872_G2_N10","CD014872","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2018.5
"CD014872_G2_N11","CD014872","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2019
"CD014872_G2_N2","CD014872","GENSUM","GIV",14,0.185,"Low Fragility",41.7,-0.4906,0,2020
"CD014872_G2_N3","CD014872","GENSUM","GIV",14,0.185,"Low Fragility",41.7,-0.4906,0,2020
"CD014872_G2_N4","CD014872","GENSUM","GIV",8,0.307,"Moderate Fragility",46.2,-0.5203,1e-04,2020
"CD014872_G2_N5","CD014872","GENSUM","GIV",11,0.157,"Low Fragility",0,-0.2329,0,2020
"CD014872_G2_N6","CD014872","GENSUM","GIV",11,0.157,"Low Fragility",0,-0.2329,0,2020
"CD014872_G2_N7","CD014872","GENSUM","GIV",11,0.157,"Low Fragility",0,-0.2329,0,2020
"CD014872_G2_N8","CD014872","GENSUM","GIV",6,0.509,"High Fragility",37.1,-0.3175,0.0147,2020
"CD014872_G2_N9","CD014872","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2018.5
"CD014872_G3_N1","CD014872","GENSUM","GIV",3,0.52,"High Fragility",12.2,-0.2767,0.0023,2019
"CD014872_G3_N2","CD014872","GENSUM","GIV",3,0.52,"High Fragility",12.2,-0.2767,0.0023,2019
"CD014872_G3_N4","CD014872","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2019
"CD014872_G3_N5","CD014872","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,2019
"CD014872_G4_N1","CD014872","GENSUM","GIV",4,0.355,"Moderate Fragility",47.1,-0.9911,0,2015.5
"CD014872_G4_N2","CD014872","GENSUM","GIV",3,0.447,"Moderate Fragility",0,-0.1285,0.178,2017
"CD014914_G1_N1","CD014914","GENSUM","GEN_CI",9,0.201,"Low Fragility",16,0.9072,0,2006
"CD014914_G10_N1","CD014914","GENSUM","GEN_CI",5,0.441,"Moderate Fragility",0,0.3062,0.0052,1996
"CD014914_G11_N1","CD014914","GENSUM","GEN_CI",16,0.071,"Robust",0.7,1.1532,0,2000
"CD014914_G11_N2","CD014914","GENSUM","GIV",4,0.24,"Low Fragility",0,0,1,1996
"CD014914_G11_N3","CD014914","GENSUM","GIV",3,0.255,"Low Fragility",0,0,1,1992
"CD014914_G11_N4","CD014914","GENSUM","GEN_CI",16,0.071,"Robust",0.7,1.1532,0,2000
"CD014914_G11_N5","CD014914","GENSUM","GEN_CI",15,0.084,"Robust",0,1.1464,0,2000
"CD014914_G14_N1","CD014914","GENSUM","GEN_CI",6,0.453,"Moderate Fragility",65.1,-1.6699,0.0078,1999
"CD014914_G14_N10","CD014914","GENSUM","GEN_CI",6,0.262,"Low Fragility",0,-0.7712,0.0054,1999
"CD014914_G14_N11","CD014914","GENSUM","GEN_CI",6,0.49,"Moderate Fragility",58.6,-0.8755,0.0146,1999
"CD014914_G14_N2","CD014914","GENSUM","GEN_CI",5,0.477,"Moderate Fragility",44.2,-0.2878,0.2552,2000
"CD014914_G14_N3","CD014914","GENSUM","GEN_CI",6,0.444,"Moderate Fragility",0,-0.4941,0.0407,1999
"CD014914_G14_N4","CD014914","GENSUM","GEN_CI",6,0.488,"Moderate Fragility",51.9,-0.942,0.0516,1999
"CD014914_G14_N6","CD014914","GENSUM","GEN_CI",6,0.414,"Moderate Fragility",17.9,-0.6654,0.0144,1999
"CD014914_G14_N7","CD014914","GENSUM","GEN_CI",6,0.294,"Low Fragility",27.9,-1.4062,4e-04,1999
"CD014914_G14_N8","CD014914","GENSUM","GEN_CI",6,0.37,"Moderate Fragility",65.1,-1.7489,8e-04,1999
"CD014914_G3_N1","CD014914","GENSUM","GEN_CI",3,0.513,"High Fragility",87.2,-0.6841,0.1325,2012
"CD014914_G4_N1","CD014914","GENSUM","GEN_CI",7,0.207,"Low Fragility",0,1.0386,0,2006
"CD014914_G4_N2","CD014914","GENSUM","GEN_CI",3,0.498,"Moderate Fragility",0,1.4636,0.0297,2014
"CD014914_G9_N1","CD014914","GENSUM","GEN_CI",8,0.41,"Moderate Fragility",95.8,-2.389,0.0022,2000
"CD014914_G9_N2","CD014914","GENSUM","GEN_CI",8,0.41,"Moderate Fragility",95.8,-2.389,0.0022,2000
